construct,construct_label,core,role,cohort,cohort_number,status,n_variables,instruments_matched,evidence_tier,reason,waves_with_data,supplementary_sessions_with_data
digital_function_reassurance,Digital function: reassurance seeking,False,mechanism,abcd,2,non_harmonisable,0,,official_dictionary,Reassurance seeking through a digital channel is not measured by the slow-clock cohorts. Forcing it onto a general screen-time item would create false equivalence between an exposure quantity and a maintaining mechanism. Analysed within cohort only; captured prospectively by WP2 and WP3.,0.0,0.0
digital_function_reassurance,Digital function: reassurance seeking,False,mechanism,astra,5,non_harmonisable,0,,reconstructed,Reassurance seeking through a digital channel is not measured by the slow-clock cohorts. Forcing it onto a general screen-time item would create false equivalence between an exposure quantity and a maintaining mechanism. Analysed within cohort only; captured prospectively by WP2 and WP3.,0.0,0.0
digital_function_reassurance,Digital function: reassurance seeking,False,mechanism,lsac,1,non_harmonisable,0,,official_dictionary,Reassurance seeking through a digital channel is not measured by the slow-clock cohorts. Forcing it onto a general screen-time item would create false equivalence between an exposure quantity and a maintaining mechanism. Analysed within cohort only; captured prospectively by WP2 and WP3.,0.0,0.0
digital_function_reassurance,Digital function: reassurance seeking,False,mechanism,tess,3,non_harmonisable,0,,published_profile,Reassurance seeking through a digital channel is not measured by the slow-clock cohorts. Forcing it onto a general screen-time item would create false equivalence between an exposure quantity and a maintaining mechanism. Analysed within cohort only; captured prospectively by WP2 and WP3.,0.0,0.0
digital_function_reassurance,Digital function: reassurance seeking,False,mechanism,ttm,4,non_harmonisable,0,,official_dictionary,Reassurance seeking through a digital channel is not measured by the slow-clock cohorts. Forcing it onto a general screen-time item would create false equivalence between an exposure quantity and a maintaining mechanism. Analysed within cohort only; captured prospectively by WP2 and WP3.,0.0,0.0
digital_function_support_seeking,Digital function: support and help seeking through a digital channel,False,mechanism,abcd,2,absent,0,,official_dictionary,,0.0,0.0
digital_function_support_seeking,Digital function: support and help seeking through a digital channel,False,mechanism,astra,5,absent,0,,reconstructed,,0.0,0.0
digital_function_support_seeking,Digital function: support and help seeking through a digital channel,False,mechanism,lsac,1,proxy,4,,official_dictionary,,4.0,0.0
digital_function_support_seeking,Digital function: support and help seeking through a digital channel,False,mechanism,tess,3,absent,0,,published_profile,,0.0,0.0
digital_function_support_seeking,Digital function: support and help seeking through a digital channel,False,mechanism,ttm,4,proxy,3,,official_dictionary,,4.0,1.0
functioning,Education and functioning,True,core_layer,abcd,2,partial,2,,official_dictionary,,8.0,23.0
functioning,Education and functioning,True,core_layer,astra,5,partial,4,,reconstructed,,3.0,0.0
functioning,Education and functioning,True,core_layer,lsac,1,partial,4,,official_dictionary,,10.0,3.0
functioning,Education and functioning,True,core_layer,tess,3,partial,1,,published_profile,,6.0,0.0
functioning,Education and functioning,True,core_layer,ttm,4,partial,17,,official_dictionary,,5.0,1.0
internalising_broad,Broad internalising / emotional symptoms,True,outcome_secondary,abcd,2,direct,1047,cbcl; ksads,official_dictionary,,8.0,23.0
internalising_broad,Broad internalising / emotional symptoms,True,outcome_secondary,astra,5,partial,4,,reconstructed,,3.0,0.0
internalising_broad,Broad internalising / emotional symptoms,True,outcome_secondary,lsac,1,direct,39,k10; sdq; sdq_emotional,official_dictionary,,10.0,2.0
internalising_broad,Broad internalising / emotional symptoms,True,outcome_secondary,tess,3,partial,2,papa_capa,published_profile,,6.0,0.0
internalising_broad,Broad internalising / emotional symptoms,True,outcome_secondary,ttm,4,direct,10,phq,official_dictionary,,5.0,1.0
intolerance_uncertainty,Intolerance of uncertainty,False,mechanism,abcd,2,non_harmonisable,0,,official_dictionary,A proximal cognitive mechanism absent from the slow-clock cohorts' instruments. Added by WP2.,0.0,0.0
intolerance_uncertainty,Intolerance of uncertainty,False,mechanism,astra,5,non_harmonisable,0,,reconstructed,A proximal cognitive mechanism absent from the slow-clock cohorts' instruments. Added by WP2.,0.0,0.0
intolerance_uncertainty,Intolerance of uncertainty,False,mechanism,lsac,1,non_harmonisable,0,,official_dictionary,A proximal cognitive mechanism absent from the slow-clock cohorts' instruments. Added by WP2.,0.0,0.0
intolerance_uncertainty,Intolerance of uncertainty,False,mechanism,tess,3,non_harmonisable,0,,published_profile,A proximal cognitive mechanism absent from the slow-clock cohorts' instruments. Added by WP2.,0.0,0.0
intolerance_uncertainty,Intolerance of uncertainty,False,mechanism,ttm,4,non_harmonisable,0,,official_dictionary,A proximal cognitive mechanism absent from the slow-clock cohorts' instruments. Added by WP2.,0.0,0.0
late_night_device_use,Late-night device use,False,predictor,abcd,2,partial,73,ksads,official_dictionary,,8.0,7.0
late_night_device_use,Late-night device use,False,predictor,astra,5,absent,0,,reconstructed,,0.0,0.0
late_night_device_use,Late-night device use,False,predictor,lsac,1,absent,0,,official_dictionary,,0.0,0.0
late_night_device_use,Late-night device use,False,predictor,tess,3,absent,0,,published_profile,,0.0,0.0
late_night_device_use,Late-night device use,False,predictor,ttm,4,absent,0,,official_dictionary,,0.0,0.0
physical_activity,Physical activity,True,core_layer,abcd,2,partial,1,,official_dictionary,,8.0,16.0
physical_activity,Physical activity,True,core_layer,astra,5,absent,0,,reconstructed,,0.0,0.0
physical_activity,Physical activity,True,core_layer,lsac,1,partial,26,,official_dictionary,,10.0,1.0
physical_activity,Physical activity,True,core_layer,tess,3,partial,1,,published_profile,,8.0,0.0
physical_activity,Physical activity,True,core_layer,ttm,4,partial,31,,official_dictionary,,5.0,1.0
rumination,Rumination,False,mechanism,abcd,2,absent,0,,official_dictionary,,0.0,0.0
rumination,Rumination,False,mechanism,astra,5,absent,0,,reconstructed,,0.0,0.0
rumination,Rumination,False,mechanism,lsac,1,absent,0,,official_dictionary,,0.0,0.0
rumination,Rumination,False,mechanism,tess,3,absent,0,,published_profile,,0.0,0.0
rumination,Rumination,False,mechanism,ttm,4,absent,0,,official_dictionary,,0.0,0.0
sleep_duration,Sleep duration,True,predictor,abcd,2,partial,36,ksads,official_dictionary,,8.0,8.0
sleep_duration,Sleep duration,True,predictor,astra,5,absent,0,,reconstructed,,0.0,0.0
sleep_duration,Sleep duration,True,predictor,lsac,1,partial,12,,official_dictionary,,4.0,2.0
sleep_duration,Sleep duration,True,predictor,tess,3,partial,3,,published_profile,,7.0,0.0
sleep_duration,Sleep duration,True,predictor,ttm,4,partial,2,,official_dictionary,,4.0,1.0
sleep_irregularity,Sleep irregularity and quality,False,predictor,abcd,2,partial,44,cbcl; ksads,official_dictionary,,8.0,3.0
sleep_irregularity,Sleep irregularity and quality,False,predictor,astra,5,absent,0,,reconstructed,,0.0,0.0
sleep_irregularity,Sleep irregularity and quality,False,predictor,lsac,1,partial,21,,official_dictionary,,9.0,2.0
sleep_irregularity,Sleep irregularity and quality,False,predictor,tess,3,partial,3,,published_profile,,7.0,0.0
sleep_irregularity,Sleep irregularity and quality,False,predictor,ttm,4,partial,1,phq,official_dictionary,,3.0,0.0
sleep_timing,"Sleep timing (bed and wake time), including late-night",True,predictor,abcd,2,partial,66,ksads,official_dictionary,,8.0,7.0
sleep_timing,"Sleep timing (bed and wake time), including late-night",True,predictor,astra,5,absent,0,,reconstructed,,0.0,0.0
sleep_timing,"Sleep timing (bed and wake time), including late-night",True,predictor,lsac,1,partial,2,,official_dictionary,,7.0,1.0
sleep_timing,"Sleep timing (bed and wake time), including late-night",True,predictor,tess,3,partial,3,,published_profile,,7.0,0.0
sleep_timing,"Sleep timing (bed and wake time), including late-night",True,predictor,ttm,4,partial,3,,official_dictionary,,4.0,0.0
social_context,"Social context (peers, family, community)",True,core_layer,abcd,2,partial,2,,official_dictionary,,8.0,19.0
social_context,"Social context (peers, family, community)",True,core_layer,astra,5,partial,2,,reconstructed,,3.0,0.0
social_context,"Social context (peers, family, community)",True,core_layer,lsac,1,partial,225,sdq,official_dictionary,,10.0,4.0
social_context,"Social context (peers, family, community)",True,core_layer,tess,3,partial,4,,published_profile,,7.0,0.0
social_context,"Social context (peers, family, community)",True,core_layer,ttm,4,partial,31,,official_dictionary,,5.0,1.0
withdrawal_behavioural,Social withdrawal: observed or reported withdrawn behaviour,True,predictor,abcd,2,partial,54,cbcl; ksads,official_dictionary,,8.0,9.0
withdrawal_behavioural,Social withdrawal: observed or reported withdrawn behaviour,True,predictor,astra,5,partial,1,,reconstructed,,3.0,0.0
withdrawal_behavioural,Social withdrawal: observed or reported withdrawn behaviour,True,predictor,lsac,1,partial,1,,official_dictionary,,7.0,1.0
withdrawal_behavioural,Social withdrawal: observed or reported withdrawn behaviour,True,predictor,tess,3,partial,1,,published_profile,,6.0,0.0
withdrawal_behavioural,Social withdrawal: observed or reported withdrawn behaviour,True,predictor,ttm,4,partial,2,,official_dictionary,,3.0,0.0
withdrawal_fearful,Social withdrawal: fearful (conflicted shyness),True,predictor,abcd,2,partial,32,cbcl; ksads,official_dictionary,,8.0,9.0
withdrawal_fearful,Social withdrawal: fearful (conflicted shyness),True,predictor,astra,5,absent,0,,reconstructed,,0.0,0.0
withdrawal_fearful,Social withdrawal: fearful (conflicted shyness),True,predictor,lsac,1,partial,2,,official_dictionary,,8.0,0.0
withdrawal_fearful,Social withdrawal: fearful (conflicted shyness),True,predictor,tess,3,direct,1,csps_conflicted_shyness,published_profile,,5.0,0.0
withdrawal_fearful,Social withdrawal: fearful (conflicted shyness),True,predictor,ttm,4,absent,0,,official_dictionary,,0.0,0.0
withdrawal_unsociable,Social withdrawal: unsociable (social disinterest),False,predictor,abcd,2,partial,2,cbcl,official_dictionary,,8.0,2.0
withdrawal_unsociable,Social withdrawal: unsociable (social disinterest),False,predictor,astra,5,absent,0,,reconstructed,,0.0,0.0
withdrawal_unsociable,Social withdrawal: unsociable (social disinterest),False,predictor,lsac,1,absent,0,,official_dictionary,,0.0,0.0
withdrawal_unsociable,Social withdrawal: unsociable (social disinterest),False,predictor,tess,3,absent,0,,published_profile,,0.0,0.0
withdrawal_unsociable,Social withdrawal: unsociable (social disinterest),False,predictor,ttm,4,absent,0,,official_dictionary,,0.0,0.0
